股票代码,行业代码
300407,801730
300408,801080
300409,801030
300410,801890
300411,801890
300412,801150
300413,801200
300414,801770
300415,801890
300416,801890
300417,801890
300418,801760
300419,801750
300420,801890
300421,801890
300422,801160
300423,801730
300424,801740
300425,801160
300426,801760
300427,801730
300428,801050
300429,801030
300430,801890
300431,801760
300432,801880
300433,801080
300434,801150
300435,801890
300436,801150
300437,801030
300438,801080
300439,801150
300440,801750
300441,801890
300442,801890
300443,801730
300444,801730
300445,801890
300446,801030
300447,801730
300448,801750
300449,801750
300450,801890
300451,801750
300452,801150
300453,801150
300454,801750
300455,801750
300456,801740
300457,801890
300458,801080
300459,801760
300460,801080
300461,801890
300462,801750
300463,801150
300464,801890
300465,801750
300466,801730
300467,801760
300468,801750
300469,801750
300470,801890
300471,801890
300472,801890
300473,801880
300474,801740
300475,801110
300476,801080
300477,801730
300478,801030
300479,801750
300480,801890
300481,801030
300482,801150
300483,801890
300484,801730
300485,801150
300486,801890
300487,801030
300488,801890
300489,801050
300490,801730
300491,801730
300492,801720
300493,801080
300494,801760
300495,801720
300496,801750
300497,801150
300498,801010
300499,801890
300500,801720
300501,801140
300502,801770
300503,801890
300504,801770
300505,801030
300506,801720
300507,801880
300508,801750
300509,801890
300510,801730
300511,801010
300512,801890
300513,801750
300514,801730
300515,801890
300516,801080
300517,801720
300518,801760
300519,801150
300520,801750
300521,801890
300522,801030
300523,801750
300525,801750
300526,801130
300527,801740
300528,801760
300529,801150
300530,801030
300531,801770
300532,801750
300533,801760
300534,801150
300535,801030
300536,801720
300537,801030
300538,801030
300539,801030
300540,801890
300541,801750
300542,801750
300543,801080
300545,801080
300546,801750
300547,801880
300548,801770
300549,801890
300550,801750
300551,801890
300552,801750
300553,801890
300554,801890
300555,801770
300556,801750
300557,801890
300558,801150
300559,801750
300560,801770
300561,801750
300562,801150
300563,801770
300565,801770
300566,801080
300567,801890
300568,801030
300569,801730
300570,801770
300571,801770
300572,801890
300573,801150
300575,801030
300576,801030
300577,801130
300578,801770
300579,801750
300580,801880
300581,801740
300582,801080
300583,801150
300584,801150
300585,801880
300586,801030
300587,801030
300588,801750
300589,801740
300590,801770
300591,801130
300592,801720
300593,801730
300595,801150
300596,801030
300597,801770
300598,801750
300599,801710
300600,801740
300601,801150
300602,801080
300603,801770
300604,801890
300605,801750
300606,801890
300607,801890
300608,801750
300609,801750
300610,801030
300611,801880
300612,801760
300613,801080
300615,801770
300616,801140
300617,801730
300618,801050
300619,801890
300620,801770
300621,801720
300622,801200
300623,801080
300624,801750
300625,801080
300626,801730
300627,801750
300628,801770
300629,801890
300630,801150
300631,801160
300632,801080
300633,801150
300634,801750
300635,801720
300636,801150
300637,801030
300638,801770
300639,801150
300640,801140
300641,801030
300642,801150
300643,801880
300644,801030
300645,801750
300646,801030
300647,801080
300648,801890
300649,801720
300650,801080
300651,801140
300652,801880
300653,801150
300654,801760
300655,801030
300656,801080
300657,801080
300658,801130
300659,801750
300660,801730
300661,801080
300662,801210
300663,801750
300664,801160
300665,801030
300666,801050
300667,801890
300668,801720
300669,801890
300670,801730
300671,801080
300672,801080
300673,801010
300675,801720
300676,801150
300677,801150
300678,801750
300679,801080
300680,801880
300681,801880
300682,801750
300683,801150
300684,801030
300685,801150
300686,801080
300687,801750
300688,801230
300689,801770
300690,801030
300691,801080
300692,801160
300693,801730
300695,801880
300696,801740
300697,801050
300698,801770
300699,801030
300700,801890
300701,801080
300702,801150
300703,801140
300705,801150
300706,801050
300707,801880
300708,801080
300709,801080
300710,801770
300711,801770
300712,801720
300713,801730
300715,801710
300716,801030
300717,801030
300718,801890
300719,801740
300720,801890
300721,801030
300722,801740
300723,801150
300724,801890
300725,801150
300726,801080
300727,801030
300728,801030
300729,801140
300730,801750
300731,801050
300732,801720
300733,801880
300735,801080
300736,801080
300737,801710
300738,801750
300739,801080
300740,801030
300741,801120
300742,801880
300743,801030
300745,801730
300746,801720
300747,801080
300750,801730
600000,801780
600004,801170
600006,801880
600007,801180
600008,801160
600009,801170
600010,801040
600011,801160
600012,801170
600015,801780
600016,801780
600017,801170
600018,801170
600019,801040
600020,801170
600021,801160
600022,801040
600023,801160
600025,801160
600026,801170
600027,801160
600028,801030
600029,801170
600030,801790
600031,801890
600033,801170
600035,801170
600036,801780
600037,801760
600038,801740
600039,801720
600048,801180
600050,801770
600051,801230
600052,801180
600053,801790
600054,801210
600055,801150
600056,801150
600057,801170
600058,801200
600059,801120
600060,801110
600061,801790
600062,801150
600063,801030
600064,801180
600066,801880
600067,801180
600068,801720
600069,801140
600070,801230
600071,801080
600072,801740
600073,801120
